날짜,문재인 테마주,홍준표 테마주,안철수 테마주,유승민 테마주,안희정 테마주
2016-09-04,2.53946,1.32276,1.32276,0.38684,4.58459
2016-09-05,5.64048,2.26492,2.26492,0.54907,5.99797
2016-09-06,4.98533,2.20253,2.20253,0.63018,6.56534
2016-09-07,9.47463,3.33811,3.33811,1.04199,5.09118
2016-09-08,9.76477,3.17589,3.17589,1.92175,4.25025
2016-09-09,11.29344,2.30236,2.30236,0.89848,2.94832
2016-09-10,3.55025,1.11686,1.11686,0.37748,1.90476
2016-09-11,3.03238,1.49435,1.49435,0.49915,1.99088
2016-09-12,6.20203,2.07774,2.07774,0.92032,9.94427
2016-09-13,5.92125,1.55674,1.55674,0.96087,4.72137
2016-09-14,3.02302,1.00455,1.00455,0.68322,2.34549
2016-09-15,2.42091,1.08878,1.08878,0.44924,1.65653
2016-09-16,4.05877,1.53179,1.53179,0.59898,1.88956
2016-09-17,3.92774,1.65969,1.65969,0.54595,2.53292
2016-09-18,4.01821,1.76265,1.76265,0.67074,2.25937
2016-09-19,10.05178,4.10557,4.10557,2.20877,5.75481
2016-09-20,7.63087,5.11636,5.11636,1.6441,4.37183
2016-09-21,5.26611,3.92462,3.92462,1.07006,4.25025
2016-09-22,4.24284,3.11973,3.11973,1.72209,18.26241
2016-09-23,3.53777,2.84519,2.84519,1.03263,8.65248
2016-09-24,2.42715,1.85312,1.85312,0.50851,3.43971
2016-09-25,2.93879,1.80944,1.80944,0.6489,5.33941
2016-09-26,5.7871,2.51138,2.51138,0.79865,8.18642
2016-09-27,6.5296,2.2462,2.2462,0.50851,6.37284
2016-09-28,4.67024,2.31172,2.31172,0.56155,5.23302
2016-09-29,4.46122,2.06214,2.06214,0.37748,3.20668
2016-09-30,3.63137,1.75017,1.75017,0.40868,2.85714
2016-10-01,1.84688,1.27285,1.27285,0.19966,1.99088
2016-10-02,1.96231,1.3446,1.3446,0.13414,1.95542
2016-10-03,2.01222,1.40388,1.40388,0.24333,3.5005
2016-10-04,4.26155,1.76265,1.76265,0.34005,4.66058
2016-10-05,4.68896,1.65034,1.65034,0.35876,3.80445
2016-10-06,4.24595,1.8032,1.8032,0.48667,3.0851
2016-10-07,4.28339,1.75017,1.75017,0.59274,3.05471
2016-10-08,2.43339,1.27285,1.27285,0.42428,2.09219
2016-10-09,2.2774,1.30716,1.30716,0.21838,2.08713
2016-10-10,3.45042,1.61602,1.61602,0.44924,3.1003
2016-10-11,3.45666,1.56922,1.56922,0.51787,3.13069
2016-10-12,2.7672,1.52867,1.52867,0.43052,2.91793
2016-10-13,2.74224,1.50059,1.50059,0.57091,2.56332
2016-10-14,2.40843,1.30716,1.30716,0.1747,2.11752
2016-10-15,1.68465,1.26037,1.26037,0.09359,1.83383
2016-10-16,1.69713,1.44443,1.44443,0.12166,2.02127
2016-10-17,2.84831,1.71897,1.71897,0.14038,3.26241
2016-10-18,3.06669,1.81568,1.81568,0.1279,6.29685
2016-10-19,3.57521,1.59106,1.59106,0.12166,5.91691
2016-10-20,2.93567,1.89991,1.89991,0.19966,9.08308
2016-10-21,2.43027,2.52074,2.52074,0.10295,3.94123
2016-10-22,1.52867,1.36956,1.36956,0.07175,3.23201
2016-10-23,1.54738,1.36644,1.36644,0.05303,2.45187
2016-10-24,2.24308,1.6441,1.6441,0.13414,3.59169
2016-10-25,6.5608,2.86391,2.86391,0.56779,3.55623
2016-10-26,15.96368,5.67791,5.67791,3.57833,5.43566
2016-10-27,9.0909,2.95126,2.95126,0.88912,3.65248
2016-10-28,9.63998,2.86079,2.86079,1.14806,3.45997
2016-10-29,4.22412,1.80944,1.80944,0.55219,2.42654
2016-10-30,4.83247,1.91551,1.91551,0.96399,2.09726
2016-10-31,11.14369,2.59561,2.59561,1.59106,2.84701
2016-11-01,8.30785,2.28052,2.28052,1.72833,2.84194
2016-11-02,7.69014,2.77344,2.77344,1.27597,2.94326
2016-11-03,6.98508,2.08398,2.08398,0.98271,2.86727
2016-11-04,9.52143,1.93423,1.93423,0.54595,3.77912
2016-11-05,4.93854,1.42883,1.42883,0.26829,2.67477
2016-11-06,4.84806,1.45379,1.45379,0.27141,2.58865
2016-11-07,9.64622,2.00287,2.00287,0.53659,4.24518
2016-11-08,8.40144,1.88432,1.88432,0.58651,4.42249
2016-11-09,8.79453,2.0091,2.0091,0.40868,3.89057
2016-11-10,9.0909,2.07462,2.07462,0.365,3.27254
2016-11-11,8.44512,1.90927,1.90927,0.38684,2.8774
2016-11-12,6.69807,1.5505,1.5505,0.24645,2.48733
2016-11-13,6.46409,1.71585,1.71585,0.35253,2.53799
2016-11-14,15.92,2.78592,2.78592,0.50539,3.14589
2016-11-15,22.24683,2.70793,2.70793,0.78617,2.64437
2016-11-16,13.3275,4.31459,4.31459,0.49291,3.7386
2016-11-17,12.15448,3.30691,3.30691,0.60522,4.94427
2016-11-18,6.16459,2.0403,2.0403,0.38996,3.12563
2016-11-19,3.53154,1.55362,1.55362,0.11231,2.462
2016-11-20,4.13364,1.53179,1.53179,0.21526,10.66869
2016-11-21,6.84157,2.12142,2.12142,0.48667,5.44579
2016-11-22,6.54208,2.0247,2.0247,0.63954,3.73353
2016-11-23,13.6582,2.42091,2.42091,4.55169,3.9007
2016-11-24,9.48711,2.18381,2.18381,1.00143,3.61702
2016-11-25,8.35465,2.03406,2.03406,0.48355,2.42147
2016-11-26,4.45186,1.44443,1.44443,0.1747,1.84903
2016-11-27,4.3957,1.6285,1.6285,0.17158,2.08206
2016-11-28,10.71629,2.11518,2.11518,0.34629,2.53292
2016-11-29,21.96917,2.63617,2.63617,0.48979,2.8926
2016-11-30,11.5555,2.16509,2.16509,0.23398,2.15298
2016-12-01,9.67429,2.66737,2.66737,0.23086,2.12259
2016-12-02,7.05372,1.74705,1.74705,0.12478,1.83383
2016-12-03,4.13988,1.39764,1.39764,0.07175,1.4235
2016-12-04,3.87783,1.42259,1.42259,0.14038,1.38297
2016-12-05,11.54926,2.23373,2.23373,0.22462,2.03647
2016-12-06,7.74318,1.79072,1.79072,0.15598,2.64437
2016-12-07,6.92269,1.50683,1.50683,0.09359,2.31003
2016-12-08,12.26679,1.55362,1.55362,0.17782,2.29989
2016-12-09,30.66699,2.31796,2.31796,0.62082,2.62411
2016-12-10,9.36856,1.76265,1.76265,0.31821,1.88956
2016-12-11,6.8291,1.28221,1.28221,0.24645,1.93515
2016-12-12,19.45467,1.75329,1.75329,0.50539,6.76798
2016-12-13,13.87658,1.5505,1.5505,1.15118,5.52178
2016-12-14,8.50439,1.60354,1.60354,0.36188,3.34853
2016-12-15,7.32825,1.12934,1.12934,0.29013,7.23404
2016-12-16,7.54975,1.09502,1.09502,0.28701,3.22695
2016-12-17,3.86847,0.72689,0.72689,0.06863,1.26139
2016-12-18,3.60641,0.81113,0.81113,0.14662,1.11955
2016-12-19,7.40313,1.11998,1.11998,0.48667,3.13069
2016-12-20,6.80414,1.06694,1.06694,0.96711,2.45187
2016-12-21,9.20633,1.3758,1.3758,1.06071,2.69503
2016-12-22,5.92437,0.9328,0.9328,0.49915,1.77811
2016-12-23,5.28795,1.00455,1.00455,0.93592,1.60587
2016-12-24,3.06046,0.69882,0.69882,0.33381,3.30293
2016-12-25,3.18213,0.70817,0.70817,0.27141,2.20364
2016-12-26,12.34791,0.95151,0.95151,0.53971,5.49138
2016-12-27,7.31265,1.03887,1.03887,0.56155,2.98885
2016-12-28,6.63567,0.9016,0.9016,0.30885,2.82674
2016-12-29,7.58407,0.97335,0.97335,0.21526,2.05167
2016-12-30,4.09621,0.77369,0.77369,0.10919,1.69199
2016-12-31,2.92631,0.73313,0.73313,0.08735,1.15501
2017-01-01,5.66231,0.78305,0.78305,0.07799,1.09929
2017-01-02,20.34067,1.23229,1.23229,0.54907,2.35055
2017-01-03,14.09808,1.19173,1.19173,0.65514,3.26241
2017-01-04,11.25912,1.06694,1.06694,0.33693,5.70921
2017-01-05,10.27328,1.02951,1.02951,0.24021,1.97568
2017-01-06,10.34504,0.96399,0.96399,0.22462,8.09017
2017-01-07,4.74199,0.67074,0.67074,0.09359,3.33333
2017-01-08,4.91358,0.71129,0.71129,0.10607,3.44984
2017-01-09,10.63829,1.05135,1.05135,0.21526,6.28672
2017-01-10,10.49167,0.87976,0.87976,0.2059,5.69402
2017-01-11,13.11536,1.3134,1.3134,1.05759,3.99189
2017-01-12,11.54614,1.8344,1.8344,0.47419,3.28267
2017-01-13,21.09877,1.12934,1.12934,0.28701,2.54812
2017-01-14,8.00836,0.81737,0.81737,0.13414,1.27659
2017-01-15,6.7667,1.02327,1.02327,0.12166,0.93211
2017-01-16,13.44605,1.24789,1.24789,0.17158,1.47922
2017-01-17,12.16384,1.90927,1.90927,0.21526,1.8541
2017-01-18,16.25382,1.6285,1.6285,0.28701,4.05775
2017-01-19,12.58501,1.8188,1.8188,0.42116,2.92806
2017-01-20,10.0705,1.67529,1.67529,0.34629,2.54812
2017-01-21,3.81231,0.97959,0.97959,0.10607,1.36271
2017-01-22,3.7312,1.11062,1.11062,0.25269,13.48024
2017-01-23,10.84732,1.44755,1.44755,0.32757,19.44782
2017-01-24,9.65246,1.80944,1.80944,0.24021,5.3698
2017-01-25,10.6071,1.62226,1.62226,0.32445,4.46808
2017-01-26,7.97092,1.48187,1.48187,7.57159,4.33637
2017-01-27,3.62513,0.97023,0.97023,0.90784,3.73353
2017-01-28,3.26636,0.886,0.886,0.24957,3.26747
2017-01-29,3.48786,0.91096,0.91096,0.1747,4.20972
2017-01-30,4.12429,0.87352,0.87352,0.2215,4.71124
2017-01-31,11.13121,1.32276,1.32276,0.82049,40.50658
2017-02-01,46.1128,9.29993,9.29993,5.77463,51.52988
2017-02-02,49.69114,8.85692,8.85692,8.11443,100.0
2017-02-03,23.06732,3.48162,3.48162,5.89941,54.83282
2017-02-04,6.99444,1.3758,1.3758,1.42259,17.22897
2017-02-05,9.04099,1.75641,1.75641,1.44131,19.84802
2017-02-06,17.03063,2.08398,2.08398,2.15885,48.83485
2017-02-07,13.23703,2.04654,2.04654,1.13558,31.44376
2017-02-08,9.83652,1.45379,1.45379,0.9172,23.97669
2017-02-09,9.99251,1.26661,1.26661,0.91096,22.52279
2017-02-10,12.65676,1.38204,1.38204,0.79241,79.66058
2017-02-11,3.83103,0.77681,0.77681,0.33381,23.91084
2017-02-12,3.35059,0.67386,0.67386,0.34629,15.61296
2017-02-13,9.06283,1.03575,1.03575,0.51475,43.60182
2017-02-14,7.78373,1.1543,1.1543,0.61458,39.09321
2017-02-15,7.80557,1.15118,1.15118,0.53971,35.12158
2017-02-16,7.66207,2.15885,2.15885,0.68634,37.94832
2017-02-17,7.52792,1.36332,1.36332,0.95463,54.77203
2017-02-18,2.76408,0.70506,0.70506,0.17782,16.46403
2017-02-19,2.37099,0.41492,0.41492,0.16222,11.00303
2017-02-20,6.61071,0.70194,0.70194,0.33069,28.39918
2017-02-21,6.35802,0.80177,0.80177,0.24957,21.79837
2017-02-22,4.75759,0.68634,0.68634,0.37124,12.95339
2017-02-23,4.51737,1.38204,1.38204,0.19654,10.71935
2017-02-24,3.76552,1.76888,1.76888,0.1279,8.00911
2017-02-25,1.69713,0.35876,0.35876,0.11543,2.91286
2017-02-26,1.86872,0.67386,0.67386,0.09047,2.57852
2017-02-27,5.1694,1.38204,1.38204,0.23398,6.51469
2017-02-28,3.6844,0.87976,0.87976,0.12478,5.37487
2017-03-01,2.07774,0.43988,0.43988,0.10607,2.462
2017-03-02,4.54857,0.77369,0.77369,0.13102,4.67071
2017-03-03,4.2054,0.77057,0.77057,0.1435,3.59169
2017-03-04,1.83752,0.29949,0.29949,0.08111,1.35258
