날짜,문재인,홍준표,안철수,유승민
2016-11-13,2.68065,0.08524,1.37511,2.98546
2016-11-14,3.50595,0.13108,1.60073,1.05397
2016-11-15,79.33055,0.10266,1.78148,3.10211
2016-11-16,4.31649,0.10838,20.58973,0.8842
2016-11-17,4.07832,0.12652,3.49736,0.96567
2016-11-18,2.17856,0.11729,1.06054,0.8171
2016-11-19,1.99728,0.13628,0.8383,0.6078
2016-11-20,6.86326,0.13179,1.311,0.9015
2016-11-21,5.32319,0.11346,1.22614,1.11925
2016-11-22,2.81901,0.10786,1.15813,3.40562
2016-11-23,7.91789,0.19603,1.17166,9.91589
2016-11-24,3.72396,0.11788,0.98466,3.91011
2016-11-25,12.75194,0.09518,0.92283,1.1134
2016-11-26,2.79176,0.0615,0.86444,0.69623
2016-11-27,2.46244,0.11118,1.08596,0.72399
2016-11-28,45.01357,0.12405,1.28954,1.10976
2016-11-29,31.82033,0.10513,2.5415,1.47784
2016-11-30,3.09164,0.09005,1.29851,1.03147
2016-12-01,3.58605,0.09577,73.9119,1.30326
2016-12-02,8.32556,0.08381,4.0514,1.28174
2016-12-03,3.23527,0.07431,1.68155,0.92536
2016-12-04,2.58851,0.47971,3.80458,1.12764
2016-12-05,2.82532,43.36466,25.40739,1.17016
2016-12-06,2.21601,0.37789,4.76883,0.86229
2016-12-07,2.6244,0.17483,1.02159,0.69142
2016-12-08,2.61062,0.11586,1.04981,1.22458
2016-12-09,5.88126,0.1868,2.47915,3.25659
2016-12-10,4.83119,0.09648,1.42342,1.35098
2016-12-11,2.38838,0.07373,1.11776,0.88713
2016-12-12,3.52051,0.1104,1.30235,36.77311
2016-12-13,3.76551,0.0853,1.10534,7.33037
2016-12-14,2.31205,0.06489,1.6638,0.94012
2016-12-15,2.51757,0.05871,0.70429,0.85768
2016-12-16,2.39053,0.06547,0.69103,1.34877
2016-12-17,3.27512,0.05188,0.59877,0.72451
2016-12-18,1.9716,0.05156,0.56697,1.0883
2016-12-19,2.04111,0.12022,0.6223,8.814
2016-12-20,2.08025,0.08543,0.76847,17.35771
2016-12-21,2.63318,0.08712,0.86132,12.05661
2016-12-22,2.20619,0.07581,0.78401,1.43622
2016-12-23,1.948,0.07828,0.70722,3.1958
2016-12-24,1.69852,0.05032,0.55033,0.8002
2016-12-25,1.44695,0.08706,0.48374,2.00255
2016-12-26,6.11865,0.06436,0.80293,1.07211
2016-12-27,2.14553,0.07886,0.73758,2.10593
2016-12-28,2.49846,0.06931,0.64981,1.06099
2016-12-29,3.16706,0.10552,0.83167,0.94753
2016-12-30,1.9218,0.13394,3.4378,0.73394
2016-12-31,1.8584,0.06079,1.50131,0.542
2017-01-01,3.96804,0.04668,1.29103,0.65377
2017-01-02,3.47012,0.06645,2.1811,61.68181
2017-01-03,2.70925,0.06898,1.39487,35.86868
2017-01-04,2.74482,0.0615,1.66438,1.87693
2017-01-05,5.14198,0.06332,1.49253,1.37394
2017-01-06,5.13151,0.05565,1.19246,1.11229
2017-01-07,2.3956,0.04193,0.96249,0.6223
2017-01-08,4.43242,0.04193,1.0175,0.72855
2017-01-09,6.47574,0.05864,1.24351,0.88641
2017-01-10,4.1317,0.09544,1.22484,0.75091
2017-01-11,5.20115,0.08537,1.25144,3.37909
2017-01-12,4.46675,0.07899,6.0615,0.86229
2017-01-13,12.5743,0.07503,1.37081,0.8751
2017-01-14,3.56498,0.0526,0.99025,0.59916
2017-01-15,3.58748,0.05344,5.7139,0.62588
2017-01-16,4.39165,0.06436,2.63474,0.67165
2017-01-17,6.03783,0.0658,1.57231,0.7212
2017-01-18,4.94998,0.07431,1.46997,3.10809
2017-01-19,3.97325,0.06885,1.50898,9.2679
2017-01-20,3.8066,0.08218,1.40124,1.26711
