,date,code,close
3879,2017-06-09,A096630,2730.0
3880,2017-06-09,A115500,5320.0
3881,2017-06-09,A069730,6370.0
3882,2017-06-09,A065650,5749.33
3883,2017-06-12,A115500,5220.0
3884,2017-06-12,A002140,3040.0
3885,2017-06-12,A035890,1340.0
3886,2017-06-12,A039560,5700.0
3887,2017-06-12,A069730,6280.0
3888,2017-06-12,A042110,2075.0
3889,2017-06-12,A065650,5691.06
3890,2017-06-12,A102120,8470.0
3891,2017-06-12,A096630,2750.0
3892,2017-06-12,A119850,4498.06
3893,2017-06-12,A155660,6780.0
3894,2017-06-13,A065650,5846.45
3895,2017-06-13,A042110,2070.0
3896,2017-06-13,A039560,5730.0
3897,2017-06-13,A155660,7040.0
3898,2017-06-13,A035890,1335.0
3899,2017-06-13,A119850,4503.13
3900,2017-06-13,A069730,6460.0
3901,2017-06-13,A115500,5330.0
3902,2017-06-13,A096630,2745.0
3903,2017-06-13,A002140,3125.0
3904,2017-06-13,A102120,8440.0
3905,2017-06-14,A069730,6400.0
3906,2017-06-14,A035890,1330.0
3907,2017-06-14,A042110,2085.0
3908,2017-06-14,A065650,5428.84
3909,2017-06-14,A102120,8600.0
3910,2017-06-14,A002140,3085.0
3911,2017-06-14,A096630,2720.0
3912,2017-06-14,A119850,4508.2
3913,2017-06-14,A115500,5350.0
3914,2017-06-14,A155660,6860.0
3915,2017-06-14,A039560,6100.0
3916,2017-06-15,A069730,6250.0
3917,2017-06-15,A042110,2095.0
3918,2017-06-15,A119850,4665.4
3919,2017-06-15,A002140,3040.0
3920,2017-06-15,A115500,5260.0
3921,2017-06-15,A065650,5535.67
3922,2017-06-15,A155660,6700.0
3923,2017-06-15,A102120,8390.0
3924,2017-06-15,A039560,6070.0
3925,2017-06-15,A096630,2825.0
3926,2017-06-15,A035890,1310.0
3927,2017-06-16,A102120,8260.0
3928,2017-06-16,A002140,3050.0
3929,2017-06-16,A115500,5240.0
3930,2017-06-16,A119850,4802.32
3931,2017-06-16,A039560,5970.0
3932,2017-06-16,A042110,2100.0
3933,2017-06-16,A096630,2740.0
3934,2017-06-16,A065650,5467.69
3935,2017-06-16,A155660,6760.0
3936,2017-06-16,A069730,6190.0
3937,2017-06-16,A035890,1320.0
3938,2017-06-19,A042110,2080.0
3939,2017-06-19,A035890,1295.0
3940,2017-06-19,A065650,5487.12
3941,2017-06-19,A096630,2715.0
3942,2017-06-19,A002140,2970.0
3943,2017-06-19,A102120,8400.0
3944,2017-06-19,A119850,4842.89
3945,2017-06-19,A039560,5850.0
3946,2017-06-19,A069730,6180.0
3947,2017-06-19,A115500,5220.0
3948,2017-06-19,A155660,6750.0
3949,2017-06-20,A102120,8400.0
3950,2017-06-20,A155660,6460.0
3951,2017-06-20,A069730,5950.0
3952,2017-06-20,A119850,4883.46
3953,2017-06-20,A039560,5850.0
3954,2017-06-20,A065650,5166.63
3955,2017-06-20,A002140,2880.0
3956,2017-06-20,A096630,2715.0
3957,2017-06-20,A035890,1290.0
3958,2017-06-20,A115500,5040.0
3959,2017-06-20,A042110,2080.0
3960,2017-06-21,A119850,5172.51
3961,2017-06-21,A069730,5940.0
3962,2017-06-21,A155660,6380.0
3963,2017-06-21,A002140,2815.0
3964,2017-06-21,A065650,5098.65
3965,2017-06-21,A096630,2620.0
3966,2017-06-21,A035890,1275.0
3967,2017-06-21,A042110,2080.0
3968,2017-06-21,A102120,8170.0
3969,2017-06-21,A115500,4965.0
3970,2017-06-21,A039560,5780.0
3971,2017-06-22,A155660,6400.0
3972,2017-06-22,A102120,8170.0
3973,2017-06-22,A096630,2610.0
3974,2017-06-22,A065650,4982.11
3975,2017-06-22,A042110,2075.0
3976,2017-06-22,A039560,5800.0
3977,2017-06-22,A069730,5910.0
3978,2017-06-22,A115500,4855.0
